execution_date,forecast_date,horizon,prediction,actual
1989-10-01,1989-11-01,1,7.9521200116563255,7.827392677240661
1989-10-01,1989-12-01,2,7.872875438061841,7.831782891885726
1989-10-01,1990-01-01,3,7.7946458360356985,8.041007248778948
1989-10-01,1990-02-01,4,7.717171348870576,8.029865271724184
1989-10-01,1990-03-01,5,7.638323001635815,8.064491743618445
1989-10-01,1990-04-01,6,7.556468001740464,8.110439531761493
1989-10-01,1990-05-01,7,7.4740990902692905,8.038494236788978
1989-10-01,1990-06-01,8,7.394500963301778,7.97019238576377
1989-10-01,1990-07-01,9,7.319911345242712,7.712998261081414
1989-10-01,1990-08-01,10,7.253199350784863,7.66232530101714
1989-10-01,1990-09-01,11,7.193373789137004,7.404131367955429
1989-10-01,1990-10-01,12,7.139214563129565,7.366234926589821
1989-10-01,1990-11-01,13,7.084634244951657,7.295881916895787
1989-10-01,1990-12-01,14,7.029680168163917,6.656821152030615
1989-10-01,1991-01-01,15,,6.3641959856781725
1989-10-01,1991-02-01,16,,6.2156625663087475
1989-10-01,1991-03-01,17,,5.85275010106253
1989-10-01,1991-04-01,18,,5.630293805449339
1989-10-01,1991-05-01,19,,5.7096713306454525
1989-10-01,1991-06-01,20,,5.696357958754043
1989-10-01,1991-07-01,21,,5.63239308716088
1989-10-01,1991-08-01,22,,5.4475123072740415
1989-10-01,1991-09-01,23,,5.221197764038472
1989-10-01,1991-10-01,24,,4.947418923577481
1989-10-01,1991-11-01,25,,4.478348975034654
1989-10-01,1991-12-01,26,,3.9254791494106924
1989-10-01,1992-01-01,27,,3.896083522806338
1989-10-01,1992-02-01,28,,3.9367320296173176
1989-10-01,1992-03-01,29,,4.050676076176253
1989-10-01,1992-04-01,30,,3.6903759406519394
1989-10-01,1992-05-01,31,,3.7216101207695367
1989-10-01,1992-06-01,32,,3.6268583510075056
1989-10-01,1992-07-01,33,,3.2301176212882488
1989-10-01,1992-08-01,34,,3.239057198337461
1989-10-01,1992-09-01,35,,2.759939861204182
1989-10-01,1992-10-01,36,,3.036386429376627
1989-10-01,1992-11-01,37,,3.311858039637407
1989-10-01,1992-12-01,38,,3.1057517817486033
1989-10-01,1993-01-01,39,,2.9633575248754567
1989-10-01,1993-02-01,40,,3.0063821247446976
1989-10-01,1993-03-01,41,,2.950014039171028
1989-10-01,1993-04-01,42,,2.978288514045964
1989-10-01,1993-05-01,43,,3.1467173450517443
1989-10-01,1993-06-01,44,,3.0973665114149056
1989-10-01,1993-07-01,45,,3.117916922678263
1989-10-01,1993-08-01,46,,3.1009879086303687
1989-10-01,1993-09-01,47,,3.000696395669054
1989-10-01,1993-10-01,48,,3.1312917283833492
1989-10-01,1993-11-01,49,,3.2411332630950342
1989-10-01,1993-12-01,50,,3.0886073031849524
1989-10-01,1994-01-01,51,,3.060859495404469
1989-10-01,1994-02-01,52,,3.4589619214186764
1989-10-01,1994-03-01,53,,3.603264263014912
1989-10-01,1994-04-01,54,,4.055069112569138
1989-10-01,1994-05-01,55,,4.394596621365777
1989-10-01,1994-06-01,56,,4.362225809620411
1989-10-01,1994-07-01,57,,4.477390855102325
1989-10-01,1994-08-01,58,,4.736660532731167
1989-10-01,1994-09-01,59,,4.9463492387033305
1989-10-01,1994-10-01,60,,5.262141131529188
1989-11-01,1989-12-01,1,7.757810727570085,7.831782891885726
1989-11-01,1990-01-01,2,7.688190962627721,8.041007248778948
1989-11-01,1990-02-01,3,7.618027652937638,8.029865271724184
1989-11-01,1990-03-01,4,7.545603217985338,8.064491743618445
1989-11-01,1990-04-01,5,7.469909049969285,8.110439531761493
1989-11-01,1990-05-01,6,7.392806308800706,8.038494236788978
1989-11-01,1990-06-01,7,7.316886669543456,7.97019238576377
1989-11-01,1990-07-01,8,7.243862879151676,7.712998261081414
1989-11-01,1990-08-01,9,7.175215890936991,7.66232530101714
1989-11-01,1990-09-01,10,7.109888153562273,7.404131367955429
1989-11-01,1990-10-01,11,7.045622263120436,7.366234926589821
1989-11-01,1990-11-01,12,6.981927207605181,7.295881916895787
1989-11-01,1990-12-01,13,6.9180160342984,6.656821152030615
1989-11-01,1991-01-01,14,6.857461506928226,6.3641959856781725
1989-11-01,1991-02-01,15,6.800113506420532,6.2156625663087475
1989-11-01,1991-03-01,16,6.745829135953632,5.85275010106253
1989-11-01,1991-04-01,17,6.694472364775847,5.630293805449339
1989-11-01,1991-05-01,18,6.64591368967393,5.7096713306454525
1989-11-01,1991-06-01,19,6.600029813217247,5.696357958754043
1989-11-01,1991-07-01,20,6.556703337946003,5.63239308716088
1989-11-01,1991-08-01,21,6.515822475713002,5.4475123072740415
1989-11-01,1991-09-01,22,6.477280771427647,5.221197764038472
1989-11-01,1991-10-01,23,6.4409768404881325,4.947418923577481
1989-11-01,1991-11-01,24,6.40681411922318,4.478348975034654
1989-11-01,1991-12-01,25,6.3747006276982905,3.9254791494106924
1989-11-01,1992-01-01,26,6.344256729410733,3.896083522806338
1989-11-01,1992-02-01,27,6.315402446033112,3.9367320296173176
1989-11-01,1992-03-01,28,6.288061692149552,4.050676076176253
1989-11-01,1992-04-01,29,6.262162083231799,3.6903759406519394
1989-11-01,1992-05-01,30,6.23763475312579,3.7216101207695367
1989-11-01,1992-06-01,31,6.214414180577322,3.6268583510075056
1989-11-01,1992-07-01,32,6.192438024348904,3.2301176212882488
1989-11-01,1992-08-01,33,6.171646966502013,3.239057198337461
1989-11-01,1992-09-01,34,6.151984563440072,2.759939861204182
1989-11-01,1992-10-01,35,6.133397104327582,3.036386429376627
1989-11-01,1992-11-01,36,6.115833476519822,3.311858039637407
1989-11-01,1992-12-01,37,6.09924503765571,3.1057517817486033
1989-11-01,1993-01-01,38,6.0828677981187225,2.9633575248754567
1989-11-01,1993-02-01,39,6.066693382175189,3.0063821247446976
