ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1989-10-01,1989-11-01,1,0.13496801254086555,0.20661683005265397
1989-10-01,1989-12-01,2,0.20981581444580807,0.2641869798848133
1989-10-01,1990-01-01,3,0.2804534415095416,0.5885151657058926
1989-10-01,1990-02-01,4,0.347202091498606,0.6283790656456304
1989-10-01,1990-03-01,5,0.41035528100378393,0.5766017074268035
1989-10-01,1990-04-01,6,0.47018128068314224,0.9216906982957264
1989-10-01,1990-05-01,7,0.5269253358013092,0.6890041478906238
1989-10-01,1990-06-01,8,0.5808116909963166,0.6793349594182309
1989-10-01,1990-07-01,9,0.6320454365361649,1.0971760198933347
1989-10-01,1990-08-01,10,0.6808141918052694,1.876039763094025
1989-10-01,1990-09-01,11,0.7272896403731339,2.0462354767593456
1989-10-01,1990-10-01,12,0.7716289297321295,2.0357328374619845
1989-10-01,1990-11-01,13,0.8139759476373916,1.5441932887733472
1989-10-01,1990-12-01,14,0.8544624859296789,2.06641911707302
1989-10-01,1991-01-01,15,,2.4160151782727493
1989-10-01,1991-02-01,16,,2.5526587594477252
1989-10-01,1991-03-01,17,,2.956500851497077
1989-10-01,1991-04-01,18,,3.288720318023309
1989-10-01,1991-05-01,19,,3.3378829607543947
1989-10-01,1991-06-01,20,,3.4482001016388133
1989-10-01,1991-07-01,21,,3.501379597157597
1989-10-01,1991-08-01,22,,3.4907360030907593
1989-10-01,1991-09-01,23,,3.328610971927237
1989-10-01,1991-10-01,24,,3.848052734586415
1989-10-01,1991-11-01,25,,4.366856905034501
1989-10-01,1991-12-01,26,,4.173656676995725
1989-10-01,1992-01-01,27,,4.944275817142783
1989-10-01,1992-02-01,28,,4.74786064898036
1989-10-01,1992-03-01,29,,4.8607158288736825
1989-10-01,1992-04-01,30,,5.378763034184644
1989-10-01,1992-05-01,31,,5.0720358605598985
1989-10-01,1992-06-01,32,,5.093390829811837
1989-10-01,1992-07-01,33,,5.058157999522936
1989-10-01,1992-08-01,34,,5.09831589903202
1989-10-01,1992-09-01,35,,5.337797726916988
1989-10-01,1992-10-01,36,,5.370773581032498
1989-10-01,1992-11-01,37,,5.072514743350435
1989-10-01,1992-12-01,38,,5.0045084832031925
1989-10-01,1993-01-01,39,,4.852915538956887
1989-10-01,1993-02-01,40,,4.428163689326173
1989-10-01,1993-03-01,41,,4.43701992774098
1989-10-01,1993-04-01,42,,4.503575631390836
1989-10-01,1993-05-01,43,,4.199801130216027
1989-10-01,1993-06-01,44,,3.806649232874309
1989-10-01,1993-07-01,45,,3.735879608768938
1989-10-01,1993-08-01,46,,3.3471736256415228
1989-10-01,1993-09-01,47,,3.2938614042300043
1989-10-01,1993-10-01,48,,3.1622144972568265
1989-10-01,1993-11-01,49,,3.5691997494720535
1989-10-01,1993-12-01,50,,3.6371144489134988
1989-10-01,1994-01-01,51,,3.483642219650421
1989-10-01,1994-02-01,52,,3.5510499705230596
1989-10-01,1994-03-01,53,,4.011935790761724
1989-10-01,1994-04-01,54,,3.6384316567595634
1989-10-01,1994-05-01,55,,3.3036018550727984
1989-10-01,1994-06-01,56,,3.4580085149863864
1989-10-01,1994-07-01,57,,3.1915304992609244
1989-10-01,1994-08-01,58,,2.9645517441366125
1989-10-01,1994-09-01,59,,3.1242857353103064
1989-10-01,1994-10-01,60,,3.0406941003882295
1989-11-01,1989-12-01,1,0.2794099716953249,0.2641869798848133
1989-11-01,1990-01-01,2,0.3483180109386682,0.5885151657058926
1989-11-01,1990-02-01,3,0.4136299850270155,0.6283790656456304
1989-11-01,1990-03-01,4,0.47561011899366695,0.5766017074268035
1989-11-01,1990-04-01,5,0.5345000098015216,0.9216906982957264
1989-11-01,1990-05-01,6,0.5905206176794733,0.6890041478906238
1989-11-01,1990-06-01,7,0.6438740816774811,0.6793349594182309
1989-11-01,1990-07-01,8,0.6947453749603197,1.0971760198933347
1989-11-01,1990-08-01,9,0.7433038139898029,1.876039763094025
1989-11-01,1990-09-01,10,0.789704434496016,2.0462354767593456
1989-11-01,1990-10-01,11,0.8340892459991358,2.0357328374619845
1989-11-01,1990-11-01,12,0.8765883756049959,1.5441932887733472
1989-11-01,1990-12-01,13,0.9173211108508279,2.06641911707302
1989-11-01,1991-01-01,14,0.9554890874142399,2.4160151782727493
1989-11-01,1991-02-01,15,0.9912923841758436,2.5526587594477252
1989-11-01,1991-03-01,16,1.0249137729851445,2.956500851497077
1989-11-01,1991-04-01,17,1.0565202436855023,3.288720318023309
1989-11-01,1991-05-01,18,1.0862643945116965,3.3378829607543947
1989-11-01,1991-06-01,19,1.1142856997455002,3.4482001016388133
1989-11-01,1991-07-01,20,1.1407116654654113,3.501379597157597
1989-11-01,1991-08-01,21,1.1656588832700598,3.4907360030907593
1989-11-01,1991-09-01,22,1.1892339909826304,3.328610971927237
1989-11-01,1991-10-01,23,1.21153454854846,3.848052734586415
1989-11-01,1991-11-01,24,1.2326498366129823,4.366856905034501
1989-11-01,1991-12-01,25,1.2526615846062135,4.173656676995725
1989-11-01,1992-01-01,26,1.2707785095156734,4.944275817142783
1989-11-01,1992-02-01,27,1.2871633614547284,4.74786064898036
1989-11-01,1992-03-01,28,1.3019646386390462,4.8607158288736825
1989-11-01,1992-04-01,29,1.3153178440653552,5.378763034184644
1989-11-01,1992-05-01,30,1.327346631261071,5.0720358605598985
1989-11-01,1992-06-01,31,1.338163848897506,5.093390829811837
1989-11-01,1992-07-01,32,1.347872493194891,5.058157999522936
1989-11-01,1992-08-01,33,1.3565665762592614,5.09831589903202
1989-11-01,1992-09-01,34,1.3643319177726705,5.337797726916988
1989-11-01,1992-10-01,35,1.3712468668030267,5.370773581032498
1989-11-01,1992-11-01,36,1.3773829599025411,5.072514743350435
1989-11-01,1992-12-01,37,1.3828055211191703,5.0045084832031925
1989-11-01,1993-01-01,38,1.3875742090489345,4.852915538956887
1989-11-01,1993-02-01,39,1.391743515604297,4.428163689326173
1989-11-01,1993-03-01,40,1.3953632207610815,4.43701992774098
1989-11-01,1993-04-01,41,1.3984788071701093,4.503575631390836
1989-11-01,1993-05-01,42,1.4011318381766702,4.199801130216027
1989-11-01,1993-06-01,43,1.403360302478166,3.806649232874309
1989-11-01,1993-07-01,44,1.4051989283650845,3.735879608768938
1989-11-01,1993-08-01,45,1.4066794702304724,3.3471736256415228
1989-11-01,1993-09-01,46,1.4078309697960307,3.2938614042300043
1989-11-01,1993-10-01,47,1.408679994286834,3.1622144972568265
1989-11-01,1993-11-01,48,1.4092508535896395,3.5691997494720535
1989-11-01,1993-12-01,49,1.4095657982501084,3.6371144489134988
1989-11-01,1994-01-01,50,1.4099923460984145,3.483642219650421
1989-11-01,1994-02-01,51,1.4105115108873647,3.5510499705230596
1989-11-01,1994-03-01,52,1.4111061410071835,4.011935790761724
1989-11-01,1994-04-01,53,1.4117607560005874,3.6384316567595634
1989-11-01,1994-05-01,54,1.4124613975137181,3.3036018550727984
1989-11-01,1994-06-01,55,1.4131954934087116,3.4580085149863864
1989-11-01,1994-07-01,56,1.4139517338761725,3.1915304992609244
1989-11-01,1994-08-01,57,1.4147199584883716,2.9645517441366125
1989-11-01,1994-09-01,58,1.4154910532274845,3.1242857353103064
1989-11-01,1994-10-01,59,1.4162568566084275,3.0406941003882295
1989-11-01,1994-11-01,60,1.417010074093581,2.1508827947746503
1989-12-01,1990-01-01,1,0.32310880403091485,0.5885151657058926
1989-12-01,1990-02-01,2,0.37960477865227865,0.6283790656456304
1989-12-01,1990-03-01,3,0.4338316944321718,0.5766017074268035
1989-12-01,1990-04-01,4,0.4859332297303833,0.9216906982957264
1989-12-01,1990-05-01,5,0.5360411028894181,0.6890041478906238
1989-12-01,1990-06-01,6,0.5842761227043474,0.6793349594182309
1989-12-01,1990-07-01,7,0.6307491460594112,1.0971760198933347
1989-12-01,1990-08-01,8,0.6755619509386412,1.876039763094025
1989-12-01,1990-09-01,9,0.7188080322922518,2.0462354767593456
1989-12-01,1990-10-01,10,0.7605733275791801,2.0357328374619845
1989-12-01,1990-11-01,11,0.800936878203234,1.5441932887733472
1989-12-01,1990-12-01,12,0.8399714325106701,2.06641911707302
1989-12-01,1991-01-01,13,0.8768052653439775,2.4160151782727493
1989-12-01,1991-02-01,14,0.9116035298222429,2.5526587594477252
1989-12-01,1991-03-01,15,0.9445171636134305,2.956500851497077
1989-12-01,1991-04-01,16,0.9756841424418663,3.288720318023309
1989-12-01,1991-05-01,17,1.005230622806553,3.3378829607543947
1989-12-01,1991-06-01,18,1.0332719837026458,3.4482001016388133
1989-12-01,1991-07-01,19,1.0599137762729451,3.501379597157597
1989-12-01,1991-08-01,20,1.0852525895272815,3.4907360030907593
1989-12-01,1991-09-01,21,1.1093768395484165,3.328610971927237
1989-12-01,1991-10-01,22,1.1323674889474027,3.848052734586415
1989-12-01,1991-11-01,23,1.154298702733615,4.366856905034501
1989-12-01,1991-12-01,24,1.1752384462197518,4.173656676995725
1989-12-01,1992-01-01,25,1.194378208026033,4.944275817142783
1989-12-01,1992-02-01,26,1.2118700738145511,4.74786064898036
1989-12-01,1992-03-01,27,1.2278528198305556,4.8607158288736825
1989-12-01,1992-04-01,28,1.2424530878165347,5.378763034184644
1989-12-01,1992-05-01,29,1.2557864560933474,5.0720358605598985
1989-12-01,1992-06-01,30,1.2679584159851327,5.093390829811837
1989-12-01,1992-07-01,31,1.2790652619536895,5.058157999522936
1989-12-01,1992-08-01,32,1.289194903068674,5.09831589903202
1989-12-01,1992-09-01,33,1.2984276027659518,5.337797726916988
1989-12-01,1992-10-01,34,1.306836653231999,5.370773581032498
1989-12-01,1992-11-01,35,1.3144889901921153,5.072514743350435
1989-12-01,1992-12-01,36,1.3214457533695765,5.0045084832031925
1989-12-01,1993-01-01,37,1.3277627974173478,4.852915538956887
1989-12-01,1993-02-01,38,1.333491157699624,4.428163689326173
1989-12-01,1993-03-01,39,1.3386774749135921,4.43701992774098
1989-12-01,1993-04-01,40,1.3433643821891572,4.503575631390836
1989-12-01,1993-05-01,41,1.3475908579828617,4.199801130216027
1989-12-01,1993-06-01,42,1.3513925477891473,3.806649232874309
1989-12-01,1993-07-01,43,1.3548020574249235,3.735879608768938
1989-12-01,1993-08-01,44,1.3578492203998358,3.3471736256415228
1989-12-01,1993-09-01,45,1.3605613416625857,3.2938614042300043
1989-12-01,1993-10-01,46,1.3629634198112286,3.1622144972568265
1989-12-01,1993-11-01,47,1.3650783496708552,3.5691997494720535
1989-12-01,1993-12-01,48,1.3669271069738247,3.6371144489134988
1989-12-01,1994-01-01,49,1.3688773447830023,3.483642219650421
1989-12-01,1994-02-01,50,1.3709088331840509,3.5510499705230596
1989-12-01,1994-03-01,51,1.3730033088279046,4.011935790761724
1989-12-01,1994-04-01,52,1.375144299559461,3.6384316567595634
1989-12-01,1994-05-01,53,1.377316964546653,3.3036018550727984
1989-12-01,1994-06-01,54,1.3795079485402242,3.4580085149863864
1989-12-01,1994-07-01,55,1.3817052490155854,3.1915304992609244
1989-12-01,1994-08-01,56,1.3838980950584685,2.9645517441366125
1989-12-01,1994-09-01,57,1.3860768369566914,3.1242857353103064
1989-12-01,1994-10-01,58,1.3882328455520454,3.0406941003882295
1989-12-01,1994-11-01,59,1.3903584204899264,2.1508827947746503
1989-12-01,1994-12-01,60,1.3924467065805244,1.5817934427148839
1990-01-01,1990-02-01,1,0.6134944829712846,0.6283790656456304
1990-01-01,1990-03-01,2,0.6371469213916855,0.5766017074268035
1990-01-01,1990-04-01,3,0.6595749808283335,0.9216906982957264
1990-01-01,1990-05-01,4,0.6808722173464072,0.6890041478906238
1990-01-01,1990-06-01,5,0.7011240356648555,0.6793349594182309
1990-01-01,1990-07-01,6,0.720408411370824,1.0971760198933347
1990-01-01,1990-08-01,7,0.7387965491216715,1.876039763094025
1990-01-01,1990-09-01,8,0.7563534825062614,2.0462354767593456
1990-01-01,1990-10-01,9,0.773138620734746,2.0357328374619845
1990-01-01,1990-11-01,10,0.7892062468680943,1.5441932887733472
1990-01-01,1990-12-01,11,0.8046059718812328,2.06641911707302
1990-01-01,1991-01-01,12,0.821449470802842,2.4160151782727493
1990-01-01,1991-02-01,13,0.8395501217314078,2.5526587594477252
1990-01-01,1991-03-01,14,0.858738602679577,2.956500851497077
1990-01-01,1991-04-01,15,0.8788613520261973,3.288720318023309
1990-01-01,1991-05-01,16,0.8997791653671634,3.3378829607543947
1990-01-01,1991-06-01,17,0.9213659166843593,3.4482001016388133
1990-01-01,1991-07-01,18,0.9435073928220435,3.501379597157597
1990-01-01,1991-08-01,19,0.9661002312353028,3.4907360030907593
1990-01-01,1991-09-01,20,0.9890509518640784,3.328610971927237
1990-01-01,1991-10-01,21,1.0122750747964147,3.848052734586415
1990-01-01,1991-11-01,22,1.0356963161229529,4.366856905034501
1990-01-01,1991-12-01,23,1.0592458550576698,4.173656676995725
1990-01-01,1992-01-01,24,1.080998917387733,4.944275817142783
1990-01-01,1992-02-01,25,1.1011043728361534,4.74786064898036
1990-01-01,1992-03-01,26,1.1196980563948822,4.8607158288736825
1990-01-01,1992-04-01,27,1.136903921857718,5.378763034184644
1990-01-01,1992-05-01,28,1.1528350931591305,5.0720358605598985
1990-01-01,1992-06-01,29,1.1675948225726598,5.093390829811837
1990-01-01,1992-07-01,30,1.1812773640204755,5.058157999522936
1990-01-01,1992-08-01,31,1.1939687690146654,5.09831589903202
1990-01-01,1992-09-01,32,1.2057476120845712,5.337797726916988
1990-01-01,1992-10-01,33,1.2166856519372504,5.370773581032498
1990-01-01,1992-11-01,34,1.2268484340447172,5.072514743350435
1990-01-01,1992-12-01,35,1.2362958398471977,5.0045084832031925
1990-01-01,1993-01-01,36,1.245082587301925,4.852915538956887
1990-01-01,1993-02-01,37,1.2532586870879907,4.428163689326173
1990-01-01,1993-03-01,38,1.260869858395913,4.43701992774098
1990-01-01,1993-04-01,39,1.267957907882513,4.503575631390836
1990-01-01,1993-05-01,40,1.274561075054502,4.199801130216027
1990-01-01,1993-06-01,41,1.2807143470550606,3.806649232874309
1990-01-01,1993-07-01,42,1.2864497455641914,3.735879608768938
1990-01-01,1993-08-01,43,1.2917965882834836,3.3471736256415228
1990-01-01,1993-09-01,44,1.2967817272570388,3.2938614042300043
1990-01-01,1993-10-01,45,1.3014297660808285,3.1622144972568265
1990-01-01,1993-11-01,46,1.3057632578709315,3.5691997494720535
1990-01-01,1993-12-01,47,1.3098028856953936,3.6371144489134988
1990-01-01,1994-01-01,48,1.3139172874723213,3.483642219650421
1990-01-01,1994-02-01,49,1.318085765786485,3.5510499705230596
1990-01-01,1994-03-01,50,1.3222896622974858,4.011935790761724
1990-01-01,1994-04-01,51,1.3265121754595464,3.6384316567595634
1990-01-01,1994-05-01,52,1.3307381943878376,3.3036018550727984
1990-01-01,1994-06-01,53,1.3349541474412474,3.4580085149863864
1990-01-01,1994-07-01,54,1.3391478642181893,3.1915304992609244
1990-01-01,1994-08-01,55,1.3433084497774959,2.9645517441366125
1990-01-01,1994-09-01,56,1.3474261700016863,3.1242857353103064
1990-01-01,1994-10-01,57,1.3514923471157967,3.0406941003882295
1990-01-01,1994-11-01,58,1.3554992644623796,2.1508827947746503
1990-01-01,1994-12-01,59,1.3594400797129416,1.5817934427148839
1990-01-01,1995-01-01,60,,1.565230181916487
1990-02-01,1990-03-01,1,0.6632487042715555,0.5766017074268035
1990-02-01,1990-04-01,2,0.6977483051936988,0.9216906982957264
1990-02-01,1990-05-01,3,0.731852966093813,0.6890041478906238
1990-02-01,1990-06-01,4,0.7655407511685587,0.6793349594182309
1990-02-01,1990-07-01,5,0.7987924212769728,1.0971760198933347
1990-02-01,1990-08-01,6,0.8315911880137157,1.876039763094025
1990-02-01,1990-09-01,7,0.8639224895907982,2.0462354767593456
1990-02-01,1990-10-01,8,0.8957737865979355,2.0357328374619845
1990-02-01,1990-11-01,9,0.9271343758825077,1.5441932887733472
1990-02-01,1990-12-01,10,0.9579952209458269,2.06641911707302
1990-02-01,1991-01-01,11,0.9870559139976476,2.4160151782727493
1990-02-01,1991-02-01,12,1.014452827932366,2.5526587594477252
1990-02-01,1991-03-01,13,1.040310556224248,2.956500851497077
1990-02-01,1991-04-01,14,1.0647429544382363,3.288720318023309
1990-02-01,1991-05-01,15,1.0878540894527435,3.3378829607543947
1990-02-01,1991-06-01,16,1.1097391045721345,3.4482001016388133
1990-02-01,1991-07-01,17,1.1304850079819897,3.501379597157597
1990-02-01,1991-08-01,18,1.150171391339863,3.4907360030907593
1990-02-01,1991-09-01,19,1.168871084692364,3.328610971927237
1990-02-01,1991-10-01,20,1.186650753360843,3.848052734586415
1990-02-01,1991-11-01,21,1.203571441938016,4.366856905034501
1990-02-01,1991-12-01,22,1.2196890700822192,4.173656676995725
1990-02-01,1992-01-01,23,1.2344452287810908,4.944275817142783
1990-02-01,1992-02-01,24,1.2479534379779662,4.74786064898036
1990-02-01,1992-03-01,25,1.260317290449178,4.8607158288736825
1990-02-01,1992-04-01,26,1.2716313300622855,5.378763034184644
1990-02-01,1992-05-01,27,1.2819818522215998,5.0720358605598985
1990-02-01,1992-06-01,28,1.291447633395574,5.093390829811837
1990-02-01,1992-07-01,29,1.3001005960097465,5.058157999522936
1990-02-01,1992-08-01,30,1.3080064144321708,5.09831589903202
1990-02-01,1992-09-01,31,1.3152250672708354,5.337797726916988
1990-02-01,1992-10-01,32,1.321811340740111,5.370773581032498
1990-02-01,1992-11-01,33,1.3278152874317737,5.072514743350435
1990-02-01,1992-12-01,34,1.3332826444420054,5.0045084832031925
1990-02-01,1993-01-01,35,1.3382552144556628,4.852915538956887
1990-02-01,1993-02-01,36,1.3427712130700233,4.428163689326173
1990-02-01,1993-03-01,37,1.3468655853493925,4.43701992774098
1990-02-01,1993-04-01,38,1.350570294336914,4.503575631390836
1990-02-01,1993-05-01,39,1.3539145840083595,4.199801130216027
1990-02-01,1993-06-01,40,1.356925218932511,3.806649232874309
1990-02-01,1993-07-01,41,1.3596267027020943,3.735879608768938
1990-02-01,1993-08-01,42,1.3620414770163534,3.3471736256415228
1990-02-01,1993-09-01,43,1.364190103129672,3.2938614042300043
1990-02-01,1993-10-01,44,1.3660914272287523,3.1622144972568265
1990-02-01,1993-11-01,45,1.3677627311624172,3.5691997494720535
1990-02-01,1993-12-01,46,1.369219869821915,3.6371144489134988
1990-02-01,1994-01-01,47,1.370825812512627,3.483642219650421
1990-02-01,1994-02-01,48,1.372555985927179,3.5510499705230596
1990-02-01,1994-03-01,49,1.374388172883905,4.011935790761724
1990-02-01,1994-04-01,50,1.3763023020167793,3.6384316567595634
1990-02-01,1994-05-01,51,1.3782802561003153,3.3036018550727984
1990-02-01,1994-06-01,52,1.3803056973585515,3.4580085149863864
1990-02-01,1994-07-01,53,1.3823639082535188,3.1915304992609244
1990-02-01,1994-08-01,54,1.3844416463818865,2.9645517441366125
1990-02-01,1994-09-01,55,1.3865270122299802,3.1242857353103064
1990-02-01,1994-10-01,56,1.3886093286480976,3.0406941003882295
1990-02-01,1994-11-01,57,1.3906790310059591,2.1508827947746503
1990-02-01,1994-12-01,58,1.3927275670831236,1.5817934427148839
1990-02-01,1995-01-01,59,,1.565230181916487
1990-02-01,1995-02-01,60,,1.4501807603325756
1990-03-01,1990-04-01,1,0.5955068468895032,0.9216906982957264
1990-03-01,1990-05-01,2,0.615911747886192,0.6890041478906238
1990-03-01,1990-06-01,3,0.637619445763024,0.6793349594182309
1990-03-01,1990-07-01,4,0.6604512584691488,1.0971760198933347
1990-03-01,1990-08-01,5,0.6842451587191498,1.876039763094025
1990-03-01,1990-09-01,6,0.7088542904436983,2.0462354767593456
1990-03-01,1990-10-01,7,0.7341456167425813,2.0357328374619845
1990-03-01,1990-11-01,8,0.7599986876873643,1.5441932887733472
1990-03-01,1990-12-01,9,0.78630451735366,2.06641911707302
1990-03-01,1991-01-01,10,0.8117149340423129,2.4160151782727493
1990-03-01,1991-02-01,11,0.8362792308586924,2.5526587594477252
1990-03-01,1991-03-01,12,0.8600426914285887,2.956500851497077
1990-03-01,1991-04-01,13,0.8830469431536381,3.288720318023309
1990-03-01,1991-05-01,14,0.9053302791313592,3.3378829607543947
1990-03-01,1991-06-01,15,0.9269279515187437,3.4482001016388133
1990-03-01,1991-07-01,16,0.9478724388719584,3.501379597157597
1990-03-01,1991-08-01,17,0.9681936897701949,3.4907360030907593
1990-03-01,1991-09-01,18,0.9879193448270586,3.328610971927237
1990-03-01,1991-10-01,19,1.007074939006406,3.848052734586415
1990-03-01,1991-11-01,20,1.0256840859895777,4.366856905034501
1990-03-01,1991-12-01,21,1.0437686461860856,4.173656676995725
1990-03-01,1992-01-01,22,1.060686266546035,4.944275817142783
1990-03-01,1992-02-01,23,1.0765283241421797,4.74786064898036
1990-03-01,1992-03-01,24,1.0913782589692809,4.8607158288736825
1990-03-01,1992-04-01,25,1.1053122764139585,5.378763034184644
1990-03-01,1992-05-01,26,1.1183999874499753,5.0720358605598985
1990-03-01,1992-06-01,27,1.13070499207938,5.093390829811837
1990-03-01,1992-07-01,28,1.1422854110505842,5.058157999522936
1990-03-01,1992-08-01,29,1.1531943704384946,5.09831589903202
1990-03-01,1992-09-01,30,1.1634804432653731,5.337797726916988
1990-03-01,1992-10-01,31,1.173188051970702,5.370773581032498
1990-03-01,1992-11-01,32,1.1823578352007436,5.072514743350435
1990-03-01,1992-12-01,33,1.19102698208084,5.0045084832031925
1990-03-01,1993-01-01,34,1.199229536853113,4.852915538956887
1990-03-01,1993-02-01,35,1.2069966765067,4.428163689326173
