horizon,mse,r_squared,rmse
<<<<<<< HEAD
1,0.15412562312639058,0.9692560425000338,0.3925883634627886
2,0.32022855788550697,0.9361201471857697,0.5658874074279325
3,0.46831702934816954,0.9065516756593166,0.6843369267752322
4,0.6501106995064101,0.8703193670108793,0.8062944248265704
5,0.8513003315801279,0.8302781668331664,0.9226593800423468
6,1.0512280945780434,0.7905072225595215,1.025294150270079
7,1.2463926269012415,0.7517846444344096,1.116419556842875
8,1.4613108664015912,0.7091739119661906,1.2088469160326263
9,1.6982891083967364,0.6622235922125321,1.3031842189025833
10,1.9346034231162903,0.6157227644651757,1.390900220402704
11,2.158574278571846,0.5721451342607641,1.46920872532525
12,2.378573722049061,0.5295909166503638,1.5422625334387985
13,2.6036790580213176,0.48622089485836006,1.6135919738339422
14,2.8330082972967974,0.4420047580738521,1.6831542702012783
15,3.0432732557235296,0.40336972285069606,1.7444979953337665
16,3.2321317405863184,0.3678699409109637,1.7978130438358484
17,3.4026760716717965,0.3360862839834313,1.8446344005443995
18,3.5677185742524924,0.30541998636278955,1.8888405370100707
19,3.7204875232927894,0.2772563378226863,1.928856532584212
20,3.8557217095540826,0.2525599591234906,1.9635991723246582
21,3.971526886024235,0.23169872393193902,1.9928690087469962
22,4.09019911074708,0.21038345994338048,2.0224240679805705
23,4.192614140413953,0.19239521963845807,2.047587395061308
24,4.3038631843507735,0.1723940330646866,2.0745754226710518
25,4.423643629364636,0.15019642941327938,2.103245974527144
26,4.534162980119674,0.1300856407049561,2.1293574101403627
27,4.612993854420114,0.1148195241572737,2.147788130710316
28,4.682196452983704,0.10176551756342389,2.163838361103644
29,4.743185669750875,0.09006528321139962,2.1778855961117136
30,4.789693182390241,0.07996529444924483,2.18853676742938
31,4.846942535007893,0.06848354400505263,2.2015772834510927
32,4.903060893308419,0.057141264660522606,2.2142856395028216
33,4.950430396155047,0.047533384400140766,2.2249562683691217
34,4.990299475121569,0.03924679550471888,2.233897821101397
35,5.019933275471041,0.03229626868901292,2.2405207598839696
36,5.045340258428815,0.02602938038277325,2.2461834872576225
37,5.07003944672856,0.020630893810114626,2.2516748092761
38,5.087042902279511,0.016860067290117686,2.255447384063639
39,5.092881234517084,0.015583631936150422,2.256741286571654
40,5.106887988019591,0.013600712509517776,2.2598424697353554
41,5.116287296636714,0.01248762694921468,2.2619211517284845
42,5.131651188264033,0.010090388224201163,2.2653148099688116
43,5.145963570139233,0.00845015633908941,2.268471637499405
44,5.157619783200424,0.007913361599081847,2.271039361878262
45,5.158100494154554,0.00961880425666517,2.2711451944238514
46,5.164499851906753,0.010596386822042114,2.2725535971472164
47,5.1668590515365365,0.012395679608013577,2.273072601466248
48,5.174014824446172,0.013379495924225604,2.2746460877345673
49,5.172066687944014,0.015745140453092055,2.2742178189311626
50,5.162237942619791,0.019529890271011485,2.2720558845723384
51,5.152342706076857,0.023482787106551162,2.269877244715418
52,5.131388845483055,0.029449827149943375,2.2652569049631115
53,5.105362294813942,0.03577022627671389,2.259504878245219
54,5.087552133721013,0.04101535907916054,2.255560270469626
55,5.0819025572250185,0.044284679779295066,2.2543075560413266
56,5.079803920153745,0.046745655557427934,2.2538420353151962
57,5.0992868307038055,0.047569372841433366,2.25816005427069
58,5.1225741763433295,0.04775720646618731,2.263310446302789
59,5.148998768190353,0.04732062580784602,2.2691405351344707
60,5.183800199934638,0.04539999299392161,2.276796038281567
=======
1,0.15412124314669448,0.9692569161893458,0.39258278508703676
2,0.3202314307401601,0.9361195741028018,0.5658899457846552
3,0.4683184525283004,0.906551391676907,0.6843379665985955
4,0.6501125658142082,0.870318994729702,0.8062955821621548
5,0.851320788332871,0.830274088416364,0.9226704657313308
6,1.0512943031875799,0.7904940282531918,1.0253264373786428
7,1.2465385782143708,0.7517555786678914,1.11648492072861
8,1.4614591538980983,0.709144400194599,1.208908248750954
9,1.6983827739159705,0.662204962874062,1.3032201555823062
10,1.9345675234446071,0.6157298953460715,1.3908873151497958
11,2.15846011037714,0.5721677637426875,1.4691698711779861
12,2.3785524598029943,0.5295951216718813,1.5422556402240823
13,2.6036815361735557,0.4862204058492269,1.613592741733042
14,2.8329766146691657,0.4420109983504822,1.68314485849233
15,3.0432179704437505,0.4033805614672201,1.7444821496489296
16,3.232089395059089,0.3678782227146704,1.7978012668421082
17,3.4025635262389513,0.3361082433045559,1.8446038941298348
18,3.5676307196517203,0.3054370903042951,1.8888172806419683
19,3.720381068605736,0.277277017760435,1.9288289371029603
20,3.855621307172549,0.25257942234355946,1.9635736062527804
21,3.971410973341484,0.23172114751476391,1.9928399266728585
22,4.0900118248800466,0.2104196156449305,2.022377765126992
23,4.192425662093076,0.19243152538657537,2.0475413700565555
24,4.303719968900233,0.17242157249992152,2.074540905574106
25,4.423468152072526,0.1502301394590887,2.1032042582860386
26,4.5340260480038515,0.13011191219416474,2.129325256508233
27,4.612847023855927,0.11484769925413607,2.1477539486300397
28,4.682028506357264,0.1017977365129259,2.1637995531835346
29,4.743171384501261,0.09006802369964251,2.177882316494916
30,4.789739665757284,0.07995636562869579,2.1885473871399914
31,4.8469756390192895,0.06847718186414553,2.2015848016870234
32,4.903097941009598,0.05713414038663711,2.214294005097245
33,4.950507439878019,0.047518561128586545,2.2249735818382246
34,4.990420906183373,0.03922341709179289,2.2339250001249757
35,5.020061611525792,0.03227152906156583,2.240549399483482
36,5.045499657120137,0.025998609486420854,2.24621896909454
37,5.070214989584149,0.020596984557261444,2.25171378944664
38,5.087284454661342,0.016813384021078903,2.2555009320905506
39,5.093204427061783,0.01552116120172975,2.256812891460385
40,5.107210510249795,0.013538417096182087,2.2599138280584494
41,5.116633664770378,0.012420773233269622,2.2619977154653315
42,5.132001252984177,0.010022859777995108,2.2653920748921537
43,5.14632644329001,0.008380236136387498,2.268551617947013
44,5.157877400370776,0.007863808013654605,2.2710960790708032
45,5.158309526012331,0.00957866909034022,2.2711912130008627
46,5.1646929637655,0.010559390873495333,2.2725960846057753
47,5.167036973838944,0.012361671164431098,2.273111738089209
48,5.174158003507043,0.013352193451773964,2.274677560338397
49,5.172166604403151,0.015726126146744623,2.2742397860390957
50,5.162312534615177,0.019515722922912926,2.2720722996012204
51,5.152381403059977,0.02347545291465858,2.269885768724932
52,5.131390092066402,0.0294495913713424,2.2652571801158476
53,5.105339670581206,0.03577449922690845,2.259499871781631
54,5.087534249229363,0.04101873023926894,2.2555563059319454
55,5.081877193925906,0.044289449664837055,2.254301930515499
56,5.079724501207537,0.0467605589782476,2.2538244166765824
57,5.0991201251648945,0.04760050963884199,2.2581231421614043
58,5.122373075622807,0.047794589372769036,2.2632660196324266
59,5.148798185963729,0.04735773798416154,2.269096336862701
60,5.183573671157452,0.04544170840808659,2.276746290467485
>>>>>>> 8347d42e9d15b734885ae05f426b1be5c437f3e8
