horizon,mse,r_squared,rmse
1,0.15956579728928433,0.9681708726245534,0.3994568778845651
2,0.3445934299681659,0.9312597922794024,0.5870208088033727
3,0.5214009508721783,0.8959592709313582,0.7220809863666113
4,0.7511326784701058,0.8501680386482294,0.8666791092844605
5,1.0152715377741948,0.7975875961033527,1.007606836903261
6,1.2941176931230631,0.7421032492705244,1.1375929382354055
7,1.5814102154161307,0.6850668959022379,1.257541337458189
8,1.8913043998754764,0.623597776117709,1.375247032309278
9,2.2246956943743577,0.5575254434885824,1.4915413820522572
10,2.561720584280812,0.49115622738102027,1.6005375922735499
11,2.8780151070649853,0.42954348180064394,1.6964713693620017
12,3.1752741888027884,0.3720279482228004,1.7819299056929228
13,3.468720827298477,0.31552382497175313,1.8624502214283412
14,3.766686167245835,0.25810561121275033,1.940795240937548
15,4.042613809730671,0.207450138376161,2.0106252285621684
16,4.295608713492043,0.15987849264135345,2.0725850316674688
17,4.528226043132214,0.11647441133535918,2.1279628857506454
18,4.749634639624454,0.07531908021828027,2.1793656507397867
19,4.95984319895014,0.03649851934945891,2.2270705419788883
20,5.148055330343603,0.0020382754772092504,2.26893264120899
21,5.322763185786279,-0.029701136416464102,2.307111437661016
22,5.488212387018462,-0.0595042340962868,2.3426934043998293
23,5.644619103601495,-0.08729809582203951,2.375840715115703
24,5.783105552773821,-0.11205502077648721,2.4048088391333358
25,5.898413483441654,-0.1331140704355327,2.4286649590755935
26,6.006254727337725,-0.15234658652630073,2.4507661510918837
27,6.0934529966605515,-0.1692635614376543,2.4684920491386135
28,6.170441547894287,-0.18374003009763507,2.4840373483291844
29,6.224924920380794,-0.1941921925132022,2.494979943883476
30,6.258747766127613,-0.20222004601390142,2.501748941466272
31,6.304290623415728,-0.21159894442132754,2.5108346467690237
32,6.338425187495119,-0.21887932586800374,2.517622924008899
33,6.361085139046123,-0.2238776730676939,2.5221191762179127
34,6.384651061659975,-0.22919956961592702,2.5267867067997596
35,6.391072864855266,-0.23202136741957147,2.5280571324349586
36,6.393034362000271,-0.23413433383196258,2.5284450482461094
37,6.395171931653901,-0.23534222651381365,2.5288677173102396
38,6.391297228512914,-0.2352047442637808,2.528101506766078
39,6.3836188841539006,-0.2339064328560685,2.5265824514853854
40,6.3865820841837655,-0.23357317256948984,2.527168788226019
41,6.381219578689113,-0.23166134420399853,2.5261075944403304
42,6.371536148927462,-0.22908682687256188,2.5241901966625777
43,6.367143433236003,-0.22685285073266348,2.523319922886514
44,6.3680872356980975,-0.22492438843315488,2.5235069319694956
45,6.365114105749349,-0.22213387006296692,2.5229177762561643
46,6.366706092963102,-0.2197196617391921,2.523233261702751
47,6.371916942797074,-0.2179416235505547,2.5242656244533923
48,6.38096764271893,-0.21677144843210572,2.5260577275111764
49,6.3861757344368275,-0.21530229205892848,2.5270883907051664
50,6.38695529055431,-0.2130821601349715,2.527242625976839
51,6.390685571475607,-0.21121882194973818,2.5279805322580327
52,6.387882980200973,-0.2082032988081537,2.527426157220221
53,6.380208295472857,-0.2050049429989429,2.525907420210182
54,6.381949474836545,-0.20297372186823837,2.526252060827768
55,6.39391044664471,-0.20245480923080672,2.528618288046796
56,6.4028837763214685,-0.20153786891730463,2.530392020284894
57,6.428821416542024,-0.200757403325446,2.5355120619989218
58,6.461067178842931,-0.20105721221257022,2.541862934708111
59,6.494236979085031,-0.20157838438650555,2.5483792847778823
60,6.5267812488843955,-0.20191079625151143,2.5547565928840257
