execution_date,forecast_date,horizon,prediction,actual
1956-06-01,1956-07-01,1,0.48782667123212947,1.2991010516487442
1956-06-01,1956-08-01,2,0.3891263385625862,1.7959816289349346
1956-06-01,1956-09-01,3,0.32867214497089825,1.9018508063425588
1956-06-01,1956-10-01,4,0.2890844839812874,1.33482597035873
1956-06-01,1956-11-01,5,0.2613781523684688,1.5983577702891432
1956-06-01,1956-12-01,6,0.2406752500588304,1.904754068402618
1956-06-01,1957-01-01,7,0.22421416995880683,0.7804914629377163
1956-06-01,1957-02-01,8,0.21037870699302963,1.0538728496066752
1956-06-01,1957-03-01,9,0.19819950115045687,1.1697505702861928
1956-06-01,1957-04-01,10,0.1870850325126906,1.3540963424676329
1956-06-01,1957-05-01,11,0.17667009104981896,1.2976272964504316
1956-06-01,1957-06-01,12,0.16672743486584427,1.1127486029380735
1956-06-01,1957-07-01,13,0.1571149503031704,2.0279812609118637
1956-06-01,1957-08-01,14,0.14774346830611282,2.0714030294917416
1956-06-01,1957-09-01,15,0.13855691809320586,1.9613996576264272
1956-06-01,1957-10-01,16,0.12951998771493345,1.6652631134963345
1956-06-01,1957-11-01,17,0.12061041071050294,0.7427118585300916
1956-06-01,1957-12-01,18,0.1118141277938097,-0.05916371509122117
1956-06-01,1958-01-01,19,0.1031222452241553,-0.3826455298914555
1956-06-01,1958-02-01,20,0.09452911999800087,0.11468079340701368
1956-06-01,1958-03-01,21,0.08603115336984415,-0.05443407444025461
1956-06-01,1958-04-01,22,0.07762603028802861,-1.0391823241299547
1956-06-01,1958-05-01,23,0.0693122398096149,-1.0744939365276187
1956-06-01,1958-06-01,24,0.061088772670028324,-1.252176082251317
1956-06-01,1958-07-01,25,0.052954930588724136,-0.096850500823979
1956-06-01,1958-08-01,26,0.0449102060660351,1.031304724641239
1956-06-01,1958-09-01,27,0.036954206656940825,1.2578004955869908
1956-06-01,1958-10-01,28,0.029086607310126772,1.4779085445333056
1956-06-01,1958-11-01,29,0.02130712041682814,1.0896451199820196
1956-06-01,1958-12-01,30,0.013615477034699286,1.288656346008558
1956-06-01,1959-01-01,31,0.006011415162834682,1.5368402630626015
1956-06-01,1959-02-01,32,-0.0015053275347631234,2.4474547554919392
1956-06-01,1959-03-01,33,-0.008935018199813072,2.4078583046933253
1956-06-01,1959-04-01,34,-0.01627793148120965,2.076190735184059
1956-06-01,1959-05-01,35,-0.02353435112157426,3.144904564060762
1956-06-01,1959-06-01,36,-0.030704570841824846,3.3227955840470242
1956-06-01,1959-07-01,37,-0.037788894784439,4.143997307571217
1956-06-01,1959-08-01,38,-0.044787637679800235,3.5905319093672277
1956-06-01,1959-09-01,39,-0.05170112483950609,3.6495421931506704
1956-06-01,1959-10-01,40,-0.058529692042132514,2.9288766634190986
1956-06-01,1959-11-01,41,-0.06527368535265349,2.945391109443808
1956-06-01,1959-12-01,42,-0.07193346090178712,3.2848698841146327
1956-06-01,1960-01-01,43,-0.07850938464156301,2.794978092814338
1956-06-01,1960-02-01,44,-0.08500183208749323,2.8341149441067617
1956-06-01,1960-03-01,45,-0.09141118805391707,2.300326884348037
1956-06-01,1960-04-01,46,-0.09773784638662009,2.362836390410999
1956-06-01,1960-05-01,47,-0.10398220969523025,3.1369715833083185
1956-06-01,1960-06-01,48,-0.1101446890870881,2.4937560934941425
1956-06-01,1960-07-01,49,-0.11622570390356755,1.9030720563208996
1956-06-01,1960-08-01,50,-0.12222568145942798,0.8423448236565053
1956-06-01,1960-09-01,51,-0.12814505678561527,0.6576109642312704
1956-06-01,1960-10-01,52,-0.1339842723757355,1.2359416729942638
1956-06-01,1960-11-01,53,-0.13974377793627493,1.2669476603445802
1956-06-01,1960-12-01,54,-0.14542403014068822,0.7248431319071882
1956-06-01,1961-01-01,55,-0.15102549238736301,0.5448429390143086
1956-06-01,1961-02-01,56,-0.15654863456144796,0.7564800755180782
1956-06-01,1961-03-01,57,-0.1619939328005337,0.4485008670209892
1956-06-01,1961-04-01,58,-0.16736186926419905,0.47714786902976025
1956-06-01,1961-05-01,59,-0.17265293190729686,0.27937256802451316
1956-06-01,1961-06-01,60,-0.17786761425711625,1.6257959629911611
1956-07-01,1956-08-01,1,0.7552147299184273,1.7959816289349346
1956-07-01,1956-09-01,2,0.4801988470788996,1.9018508063425588
1956-07-01,1956-10-01,3,0.3355408944487078,1.33482597035873
1956-07-01,1956-11-01,4,0.2553599843665885,1.5983577702891432
1956-07-01,1956-12-01,5,0.2078446483315885,1.904754068402618
1956-07-01,1957-01-01,6,0.17734278779162355,0.7804914629377163
1956-07-01,1957-02-01,7,0.15597752324671327,1.0538728496066752
1956-07-01,1957-03-01,8,0.1396810131754086,1.1697505702861928
1956-07-01,1957-04-01,9,0.12629250908594808,1.3540963424676329
1956-07-01,1957-05-01,10,0.11463047653780623,1.2976272964504316
1956-07-01,1957-06-01,11,0.1040303254138853,1.1127486029380735
1956-07-01,1957-07-01,12,0.09410838575440791,2.0279812609118637
1956-07-01,1957-08-01,13,0.08463805986208156,2.0714030294917416
1956-07-01,1957-09-01,14,0.07548293439318435,1.9613996576264272
1956-07-01,1957-10-01,15,0.06655960173821762,1.6652631134963345
1956-07-01,1957-11-01,16,0.0578164276593304,0.7427118585300916
1956-07-01,1957-12-01,17,0.049221129056534,-0.05916371509122117
1956-07-01,1958-01-01,18,0.04075335523242263,-0.3826455298914555
1956-07-01,1958-02-01,19,0.03240018233464173,0.11468079340701368
1956-07-01,1958-03-01,20,0.024153340563059955,-0.05443407444025461
1956-07-01,1958-04-01,21,0.016007490318187156,-1.0391823241299547
1956-07-01,1958-05-01,22,0.007959142271364794,-1.0744939365276187
1956-07-01,1958-06-01,23,5.977015893804394e-06,-1.252176082251317
1956-07-01,1958-07-01,24,-0.007853585292953214,-0.096850500823979
