execution_date,indicator,metric,model,target_col,value
1956-06-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta2,0.5010969075200571
1956-06-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta2,0.00017827202692551714
1956-06-01,beta2,coefficient,AR(1) + Output Gap (Direct) - MRM,beta2,0.6322479290526054
1956-06-01,beta2,p_value,AR(1) + Output Gap (Direct) - MRM,beta2,5.386874369489799e-09
1956-06-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta2,-0.10616396967186773
1956-06-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta2,1.444287149996776e-05
1956-06-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta2,0.9549278683035269
1956-06-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta2,34.0
1956-07-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta2,0.5358047569499096
1956-07-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta2,3.955206245931331e-05
1956-07-01,beta2,coefficient,AR(1) + Output Gap (Direct) - MRM,beta2,0.623756466198635
1956-07-01,beta2,p_value,AR(1) + Output Gap (Direct) - MRM,beta2,1.4597752265882633e-09
1956-07-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta2,-0.1042506408916235
1956-07-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta2,6.192473323779013e-06
1956-07-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta2,0.9565323251609433
1956-07-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta2,35.0
