execution_date,mse,r_squared,rmse
1989-10-01,2.1868157578835965,-0.9046671635196317,1.4787886116289903
1989-11-01,10.786042840636798,-2.150130751914387,3.2842111443445283
1989-12-01,10.949884087137418,-1.7817360645102895,3.3090609071362556
1990-01-01,11.127741671118104,-1.8196440255139876,3.335826984589894
1990-02-01,11.360795304144741,-1.900094625324943,3.3705778887521265
1990-03-01,11.677587160957025,-2.070031175449892,3.4172484780824797
1990-04-01,12.034161560484522,-2.3211756235358902,3.4690289074155207
1990-05-01,11.07261939586931,-1.9305849711270482,3.3275545669258846
1990-06-01,10.908071402378363,-1.9208995290878543,3.3027369562801034
1990-07-01,10.621278004439679,-1.8457380870638542,3.259030224536078
1990-08-01,10.443650385498719,-1.777838346892323,3.2316637178856835
1990-09-01,10.478130414682855,-1.7609066645361664,3.2369940399517043
1990-10-01,10.248651425368706,-1.6947307198473083,3.2013514998151495
1990-11-01,10.3722368390495,-1.7304618631046846,3.2205957273537917
1990-12-01,10.325655548222981,-1.7160303406744761,3.2133558079090747
1991-01-01,10.313235234567395,-1.7107582689455176,3.211422618492838
1991-02-01,10.381755468150667,-1.732259467793468,3.222073163066082
1991-03-01,10.414350512858885,-1.7348897380867885,3.2271272848864956
1991-04-01,10.041308999159105,-1.6004541240340227,3.168802455054449
1991-05-01,9.756826840819821,-1.4732372871396868,3.123591977326716
1991-06-01,9.766273706137449,-1.442758723737887,3.125103791258372
1991-07-01,9.36129581845884,-1.303988100771238,3.059623476583163
1991-08-01,8.641335832863222,-1.0883590458571324,2.9396149123419586
1991-09-01,8.129806742422176,-0.9378358436218746,2.8512815964794105
1991-10-01,7.334469993789015,-0.7742912691745687,2.708222663258879
1991-11-01,6.725702367143872,-0.6703137083025128,2.5933959140755722
1991-12-01,6.385289597608362,-0.6204653916943279,2.5269130569943163
1992-01-01,6.009949532319945,-0.5606990701203556,2.4515198413066015
1992-02-01,5.9613930820740535,-0.5499113713868431,2.441596420802188
1992-03-01,5.898552184189973,-0.5096474167114073,2.4286935138444234
1992-04-01,5.515180274453814,-0.39697953726020474,2.3484420951885987
1992-05-01,4.953394861673354,-0.24453683361141176,2.225622353786319
1992-06-01,4.0346173022251275,-0.039369536711710396,2.008635681806217
1992-07-01,3.528594295157679,0.0518569224620411,1.8784552949585143
1992-08-01,2.7253432722140314,0.20144736277878628,1.6508613728033106
1992-09-01,2.415631838590209,0.2218097711074578,1.5542303042310714
1992-10-01,2.4662239164514306,0.15516926684128496,1.5704215728432382
1992-11-01,2.5658421936548423,0.09877769696560834,1.6018246451015923
1992-12-01,2.339796048024282,0.15101219315656123,1.5296391888364662
1993-01-01,1.8603604622732497,0.2787052770075137,1.3639503151776642
1993-02-01,1.5413486058050976,0.34651118210790655,1.2415106144552681
1993-03-01,1.436234646438136,0.3413256784310216,1.1984300757399806
1993-04-01,1.166354725750454,0.3854379994866757,1.0799790394958848
1993-05-01,1.2492701245588067,0.2965618779826146,1.1177075308678952
1993-06-01,1.1383908785635968,0.3049906973775194,1.0669540189547049
1993-07-01,1.1278643309747884,0.2672325576225687,1.0620095719788916
1993-08-01,1.0894901631722782,0.23180129532119265,1.0437864547752467
1993-09-01,1.1137945059992307,0.1639296746814749,1.0553646317738863
1993-10-01,1.2415503930214031,0.07492268569187455,1.1142488021180024
1993-11-01,1.2891257459901515,-0.03174126042099368,1.135396735062309
1993-12-01,1.2912518973230862,-0.09285685714810343,1.1363326525815785
1994-01-01,1.3538649399133325,-0.22938041471952286,1.1635570204821646
1994-02-01,1.3529049441854037,-0.28609512104050183,1.16314442103524
1994-03-01,1.2950180910528382,-0.2507562448506728,1.1379886163986168
1994-04-01,1.2306600550307498,-0.18868344253548774,1.1093511865188364
1994-05-01,1.2348217339511238,-0.17873150924507186,1.1112253299628856
1994-06-01,1.2235062588398447,-0.17789714619393937,1.1061221717513146
1994-07-01,1.2420372094468075,-0.18487647755336267,1.1144672312126578
1994-08-01,1.2421358110870377,-0.18207637313882552,1.1145114674542553
1994-09-01,1.2132812241393574,-0.1564626817535697,1.1014904557640786
1994-10-01,1.2290111070949579,-0.14602118406887588,1.108607733643852
1994-11-01,1.308377277344751,-0.2876765600960247,1.1438432048776401
1994-12-01,1.8644640476277579,-1.3219589675916406,1.3654537881699833
1995-01-01,1.3064820686156744,-0.5772297174921961,1.1430144656196064
1995-02-01,1.1036620446892123,-0.23202345370524613,1.050553208880546
1995-03-01,1.2341777821040172,-0.2609139182745781,1.1109355436315904
1995-04-01,1.2234418351944312,-0.06182267139755693,1.1060930499711275
1995-05-01,1.3177014609309365,0.12958281238215952,1.1479117827302483
1995-06-01,1.4063389330283018,0.10868227259035279,1.1858916194274676
1995-07-01,1.3754027693229394,0.11910395208099855,1.1727756687972937
1995-08-01,1.4134961110920088,0.0905085694829042,1.188905425629814
1995-09-01,1.4485630208696316,0.06454700800791335,1.2035626368700683
1995-10-01,1.3009940350264015,0.14223105293895666,1.14061125499725
1995-11-01,1.277511089840293,0.12931396914719306,1.1302703613915979
1995-12-01,1.3574007761370452,0.09551070732917488,1.165075437959725
1996-01-01,1.5354861832986704,-0.027576816015267624,1.2391473614137547
1996-02-01,1.6415495085927199,-0.019703215220119086,1.2812296861190502
1996-03-01,1.7755447059028444,-0.003693985402960731,1.332495668249186
1996-04-01,1.869781316574282,-0.004768182433342538,1.3673994722005278
1996-05-01,1.9758742198777766,-0.011645317793204546,1.4056579313182054
1996-06-01,2.0510777261263287,-0.010071381886441078,1.4321584151644429
1996-07-01,2.255469123160692,-0.018366506162391882,1.5018219345717028
1996-08-01,2.425694026484973,-0.03210090035995017,1.5574639727727164
1996-09-01,2.7390861507611564,-0.04541346690417569,1.655018474447085
1996-10-01,3.0887428059524558,-0.04981985706580594,1.757481950391655
1996-11-01,3.29795962001042,-0.0651514754485103,1.8160285295144512
1996-12-01,3.4963206690817126,-0.07642353161164306,1.8698450922687988
1997-01-01,3.6346426855892657,-0.0893467086128581,1.9064738879904088
1997-02-01,3.7762018679428517,-0.09926869520480519,1.9432451898674166
1997-03-01,3.8343824441829772,-0.12069372533342082,1.9581579211552314
1997-04-01,3.973283219062906,-0.14195617967459162,1.993309614451028
1997-05-01,4.126633897486875,-0.1727861789791172,2.0314117990911824
1997-06-01,4.325184703368255,-0.18529339808509748,2.0797078408681005
1997-07-01,4.835054107524749,-0.19509990137197764,2.1988756462166634
1997-08-01,5.348085078480676,-0.22354269141799388,2.312592717812775
1997-09-01,5.95986225663847,-0.2512083656621531,2.4412829120440893
1997-10-01,6.652294895027099,-0.2703033651089142,2.5792043143239156
1997-11-01,7.111143461449253,-0.3090547012498237,2.66667273234817
1997-12-01,7.660330426293607,-0.32546611668270753,2.767730193912262
1998-01-01,8.19869615336337,-0.3434517722430319,2.863336542106668
1998-02-01,8.834370399580694,-0.3736026163073647,2.9722668789293962
1998-03-01,9.556598641992819,-0.414000399670194,3.0913748789159845
1998-04-01,10.27669181911862,-0.45734547140787973,3.2057279702305714
1998-05-01,10.920300869505263,-0.5011058373208899,3.3045878516851785
1998-06-01,11.49085804767784,-0.5429574730488473,3.3898168162421167
1998-07-01,12.1289015167151,-0.5800854672001658,3.4826572493880446
1998-08-01,12.333725295767103,-0.5659180726016984,3.511940388982578
1998-09-01,13.008559372311101,-0.5982255762509976,3.6067380515239944
1998-10-01,13.564547979051786,-0.6291359234135034,3.6830080069220306
1998-11-01,13.820442126416747,-0.6443928257735148,3.7175855237528492
1998-12-01,14.272067949718604,-0.6789521502458029,3.7778390582075625
1999-01-01,14.757367615013587,-0.7251082074249491,3.8415319359616924
1999-02-01,15.33686198782467,-0.7838723032985726,3.916230584098014
1999-03-01,15.933048009334014,-0.840106769602599,3.9916222277833375
1999-04-01,16.163605033555466,-0.8842820758578283,4.020398616251312
1999-05-01,16.37748610310412,-0.9506449776790871,4.046910686326561
1999-06-01,16.577458001422812,-1.006611619093777,4.071542459734739
1999-07-01,16.700237618805698,-1.0667470382015365,4.086592421419795
1999-08-01,16.939787366381037,-1.1343589426945813,4.115797294131604
1999-09-01,17.133171499641836,-1.2112880287804102,4.13922353825471
1999-10-01,17.242761476764574,-1.3061816567801934,4.152440424228212
1999-11-01,17.5094084303102,-1.4209752085526408,4.184424504075823
1999-12-01,17.56688046921336,-1.5212979765771077,4.191286254744879
