execution_date,forecast_date,horizon,prediction,actual
1989-10-01,1989-11-01,1,8.016068000427888,7.82739267724066
1989-10-01,1989-12-01,2,7.995430629520021,7.831782891885726
1989-10-01,1990-01-01,3,7.974326322875733,8.041007248778948
1989-10-01,1990-02-01,4,7.952779142096686,8.029865271724184
1989-10-01,1990-03-01,5,7.930812554311737,8.064491743618445
1989-10-01,1990-04-01,6,7.908449443364736,8.110439531761493
1989-10-01,1990-05-01,7,7.885712120826173,8.038494236788978
1989-10-01,1990-06-01,8,7.862622336830689,7.97019238576377
1989-10-01,1990-07-01,9,7.83920129074246,7.712998261081414
1989-10-01,1990-08-01,10,7.815469641650494,7.66232530101714
1989-10-01,1990-09-01,11,7.791447518695847,7.404131367955429
1989-10-01,1990-10-01,12,7.767154531232817,7.366234926589821
1989-10-01,1990-11-01,13,7.742609778826137,7.295881916895787
1989-10-01,1990-12-01,14,7.717831861086204,6.656821152030615
1989-10-01,1991-01-01,15,,6.3641959856781725
1989-10-01,1991-02-01,16,,6.2156625663087475
1989-10-01,1991-03-01,17,,5.85275010106253
1989-10-01,1991-04-01,18,,5.630293805449339
1989-10-01,1991-05-01,19,,5.709671330645452
1989-10-01,1991-06-01,20,,5.696357958754043
1989-10-01,1991-07-01,21,,5.63239308716088
1989-10-01,1991-08-01,22,,5.4475123072740415
1989-10-01,1991-09-01,23,,5.221197764038472
1989-10-01,1991-10-01,24,,4.947418923577481
1989-10-01,1991-11-01,25,,4.478348975034654
1989-10-01,1991-12-01,26,,3.9254791494106924
1989-10-01,1992-01-01,27,,3.896083522806338
1989-10-01,1992-02-01,28,,3.9367320296173176
1989-10-01,1992-03-01,29,,4.050676076176253
1989-10-01,1992-04-01,30,,3.6903759406519394
1989-10-01,1992-05-01,31,,3.7216101207695367
1989-10-01,1992-06-01,32,,3.6268583510075056
1989-10-01,1992-07-01,33,,3.2301176212882483
1989-10-01,1992-08-01,34,,3.2390571983374614
1989-10-01,1992-09-01,35,,2.7599398612041823
1989-10-01,1992-10-01,36,,3.0363864293766274
1989-10-01,1992-11-01,37,,3.3118580396374075
1989-10-01,1992-12-01,38,,3.1057517817486033
1989-10-01,1993-01-01,39,,2.9633575248754562
1989-10-01,1993-02-01,40,,3.006382124744697
1989-10-01,1993-03-01,41,,2.9500140391710286
1989-10-01,1993-04-01,42,,2.9782885140459645
1989-10-01,1993-05-01,43,,3.1467173450517443
1989-10-01,1993-06-01,44,,3.0973665114149056
1989-10-01,1993-07-01,45,,3.117916922678263
1989-10-01,1993-08-01,46,,3.1009879086303687
1989-10-01,1993-09-01,47,,3.000696395669054
1989-10-01,1993-10-01,48,,3.1312917283833492
1989-10-01,1993-11-01,49,,3.2411332630950342
1989-10-01,1993-12-01,50,,3.0886073031849524
1989-10-01,1994-01-01,51,,3.060859495404469
1989-10-01,1994-02-01,52,,3.4589619214186764
1989-10-01,1994-03-01,53,,3.603264263014912
1989-10-01,1994-04-01,54,,4.055069112569138
1989-10-01,1994-05-01,55,,4.394596621365777
1989-10-01,1994-06-01,56,,4.362225809620412
1989-10-01,1994-07-01,57,,4.477390855102326
1989-10-01,1994-08-01,58,,4.736660532731167
1989-10-01,1994-09-01,59,,4.946349238703331
1989-10-01,1994-10-01,60,,5.262141131529189
1989-11-01,1989-12-01,1,7.807838639469768,7.831782891885726
1989-11-01,1990-01-01,2,7.78777790763739,8.041007248778948
1989-11-01,1990-02-01,3,7.767235953123724,8.029865271724184
1989-11-01,1990-03-01,4,7.746237613883545,8.064491743618445
1989-11-01,1990-04-01,5,7.724807106572832,8.110439531761493
1989-11-01,1990-05-01,6,7.702968038478963,8.038494236788978
1989-11-01,1990-06-01,7,7.680743419256852,7.97019238576377
1989-11-01,1990-07-01,8,7.658155672473372,7.712998261081414
1989-11-01,1990-08-01,9,7.635226646962469,7.66232530101714
1989-11-01,1990-09-01,10,7.611977627993305,7.404131367955429
1989-11-01,1990-10-01,11,7.588429348253837,7.366234926589821
1989-11-01,1990-11-01,12,7.564601998652178,7.295881916895787
1989-11-01,1990-12-01,13,7.540515238938147,6.656821152030615
1989-11-01,1991-01-01,14,7.5164807552680335,6.3641959856781725
